證交所新聞
"標題","連結","日期"
"自110年8月19日起，新世紀及華冠併案列為變更交易方法、力特恢復交易方法、億麗採行分盤集合競價交易方式","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b538ddc500165","110年08月17日"
"本國上市公司110年上半年度營收獲利表現亮眼。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b5345918a0160","110年08月17日"
"110年第3季得為上市認購（售）權證（含牛熊證）之標的證券","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b521bfbf0015c","110年08月17日"
"臺灣證券交易所股份有限公司召開110年股東常會","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b516b158b0156","110年08月17日"
"本國上市公司(不含金融保險公司)均已申報110年第2季財務報告","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b4e5b4c2e0152","110年08月16日"
"證交所提醒民眾慎防投資詐騙訊息","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b4def9667014d","110年08月16日"
"上週外資在集中市場賣超253.75億元，賣超華邦電6.04萬張最多，另買超中鋼10.81萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b4d04aa700143","110年08月16日"
"臺灣證券交易所有價證券上市審議委員會審議通過宜新實業股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b3ec5345e011c","110年08月13日"
"本週發行量加權股價指數跌幅約為3.10%，上市股票總市值達52.09兆元","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b3ebffc2f0118","110年08月13日"
"洋基工程(股)公司於110年8月13日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b3e4961300113","110年08月13日"
"友佳國際控股有限公司參與發行之臺灣存託憑證(友佳-DR，證券代號：912398)自110年8月13日起恢復交易","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b3d0ce2ac010d","110年08月13日"
"2021年第3季MSCI指數臺股權重調整結果","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b38f88d230108","110年08月12日"
"臺灣證券交易所訂於8月13日召開有價證券上市審議委員會第741次會議，將審議宜新實業(股)公司之申請股票上市案。","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b3819b71f0104","110年08月12日"
"中國信託投信募集發行之中信小資高價30ETF，將於8月13日掛牌上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b34961eb70100","110年08月11日"
"全體上市公司110年7月份當月營收較109年同期成長9.05％，累計營業收入較109年同期成長19.64％","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b338c0bc200fb","110年08月11日"
"臺灣證券交易所有價證券上市審議委員會審議通過森崴能源股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b2f8476b700f7","110年08月10日"
"自110年8月11日起，台灣土地開發股份有限公司（台開，公司代號：2841）上市有價證券取消分盤集合競價交易方式，惟仍繼續列為變更交易方法","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b2f6ac09900f3","110年08月10日"
"富邦投信募集發行之富邦未來車ETF，將於8月12日掛牌上市","https://www.twse.com.tw/zh/news/newsDetail/ff8080817aead2b9017b2f059ade00ee","110年08月10日"
